GeneID	male_O	female_O	male_A	female_A
PBANKA_0702500	166.8346723	35.69344779	143.9942313	5.868737309
PBANKA_0312700	162.3858929	125.6010815	312.6091743	82.7977167
PBANKA_0107400	161.5720695	158.4138685	171.9601254	98.82967413
PBANKA_1123500	161.5306495	90.11502193	64.66223194	18.02939861
PBANKA_0719300	159.8666682	45.29946657	101.3235382	22.86030099
PBANKA_1446700	159.2408043	129.5270642	42.1389477	25.92306488
PBANKA_1304100	154.0265784	83.48871986	178.7037572	75.36615344
PBANKA_0933900	152.950627	49.16124212	428.1195469	78.92743573
PBANKA_1210700	151.5712021	215.7724598	84.78356548	106.2895562
PBANKA_0105900	151.1573747	198.1347588	178.33232	247.2106791
PBANKA_1125100	150.815482	38.67025745	13.34614512	3.538531149
PBANKA_1104200	148.67441	26.84334826	85.58954653	7.327555937
PBANKA_0611600	146.2190337	56.04137625	150.537221	43.03960392
PBANKA_1344400	146.1352476	140.5791946	71.05004995	120.8407998
PBANKA_1455600	144.8120204	212.6986148	55.67625177	89.9740481
PBANKA_1124000	143.570538	130.0261312	25.38575218	23.70257612
PBANKA_1017500	142.4118212	89.20096741	265.8261568	55.26012453
PBANKA_1131100	141.6953235	233.7950135	392.4579775	812.8781955
PBANKA_1224300	139.0784147	41.69556465	74.13132152	19.9744141
PBANKA_1428500	137.6665997	1704.874969	143.0194792	3277.004488
PBANKA_1134200	137.2803607	51.13716453	685.7336651	277.0753485
PBANKA_1446300	136.5203128	105.7616199	158.7020904	54.91177206
PBANKA_0923700	129.8038781	74.49322191	116.0681112	60.09431945
PBANKA_1333700	129.1649724	62.28717177	114.0717119	16.04372725
PBANKA_1014400	125.4352044	27.22431281	502.6009653	61.4381335
PBANKA_0820900	120.7600527	1619.271285	4.796293649	43.94082225
PBANKA_1023400	119.5545104	59.34255482	161.7801718	52.15256401
PBANKA_1116300	118.9684571	26.91059556	71.48687695	18.44471011
PBANKA_0308600	118.367054	31.31980923	77.06152129	20.40088069
PBANKA_1307600	117.1434258	80.06116532	121.9859024	82.49105072
PBANKA_1214300	115.8794324	97.95651965	92.68174206	75.14870516
PBANKA_1453300	115.5958021	76.69109431	14.44314367	7.391278537
PBANKA_1449800	115.5958021	28.17927278	194.3051755	27.92821142
PBANKA_0501700	113.7326232	46.42870657	221.4269669	42.23780677
PBANKA_1014800	111.6506471	49.52539143	98.67648671	37.58566678
PBANKA_1355200	111.4299391	118.421365	127.664918	110.7427618
PBANKA_1346600	111.1451179	19.03384115	274.9571	36.49410212
PBANKA_0603800	111.1451179	122.5493395	35.05587031	30.37764836
PBANKA_1314600	109.3186719	66.61018623	47.8140328	24.55237272
PBANKA_1014000	108.6352593	48.67328934	22.98201595	9.075506973
PBANKA_1142400	107.539961	79.51190474	59.52549177	38.09688363
PBANKA_1009500	105.6829171	83.51915123	85.14904782	69.3292953
